simulation_number,Raw influent flow,Final effluent flow,Wastage flow,Total cycle flow,External recycle flow,Split internal ratio,Internal recycle flow
1786,2380.0368430925373,1814.0445527493662,565.9922903431702,9177.284272066072,4103.395535636465,0.29353475632371256,2693.851906327496
1787,14337.811157038148,13551.640324114655,786.1708329234809,30662.186157852713,4543.8436709743555,0.38420389530788085,11780.531379632965
1788,11229.155836132923,10606.750634825723,622.4052013071902,21579.765081004578,2351.3251006341516,0.37068448779632795,7999.284178528349
1789,12726.718140830695,12618.948814583724,107.76932624696386,56174.8631598786,18558.512618687437,0.4430741982530023,24889.63250122641
1790,8354.199814388703,8246.707307571014,107.49250681768181,36072.674718158254,15754.533044974318,0.33166217887484506,11963.941912768943
1791,2739.087014844667,2667.46953404226,71.61748080240503,11417.795265408457,4230.428971496748,0.3895917895779247,4448.279297772218
1792,7692.012555655462,7187.521240514683,504.49131514076674,28199.08324262214,7507.017516588017,0.4610097813012771,13000.053222697006
1793,5643.18336953705,5174.462391916229,468.72097762081347,6961.380256120996,1256.8099868081588,0.008818209102022702,61.386906799100245
1794,15513.659917502022,14922.598958165563,591.0609593364447,44436.28841156017,8734.342556436999,0.4543198071602538,20188.286019053976
1795,15768.823819036625,15133.565410975447,635.2584080611643,31353.437535904315,15354.501531697295,0.007339297844465111,230.11221675564758
1796,7440.80622534598,7233.771810761065,207.03441458491503,20215.402069816115,7443.904767858841,0.2636945373837516,5330.691104066477
1797,18010.55018073729,17763.446198011494,247.10398272579988,23490.02776882634,4631.656533628837,0.03609280867157537,847.8210788298084
1798,1215.8280346338352,939.3228358855132,276.50519874832105,8914.795535315905,5199.107542721507,0.28041697164810775,2499.8599703493974
1799,3911.3008794428124,3441.3377509360816,469.9631285067236,28947.213943936847,14520.183287368796,0.363272604625739,10515.729822587717
1800,12032.70741187204,11698.854613239528,333.8527986324995,32549.56448150141,9439.654504784105,0.3403179973019373,11077.202614186559
1801,16513.376874584643,16255.68278119414,257.6940933904857,58307.10593124498,14996.418143417512,0.459589110856385,26797.31102113683
1802,13751.083742328463,13313.45629483537,437.62744749308325,25352.45133141737,2735.033383355514,0.3497229563793095,8866.33424472054
1803,19094.013294568642,18381.84334900504,712.1699455635853,25281.25618709625,4753.300977167979,0.05671956844346909,1433.9419421610457
1804,11094.755827293655,10399.690058883567,695.0657684100763,26231.963885555964,4650.930296483144,0.3997519146397254,10486.27780548102
1805,9419.727605117774,8748.013677423918,671.7139276938439,34934.383223174475,12969.642080775866,0.3591021914448231,12545.013591789331
1806,6434.999917515699,5992.656229624139,442.34368789155144,11007.308939940009,1267.934481978259,0.3001982200629838,3304.374556175231
1807,2107.7837989192394,1336.8459524762666,770.9378464429719,7885.588644893946,4447.135291301775,0.16874701718306737,1330.669564159319
1808,5351.684888341049,4981.52912893647,370.15575940457654,15343.822680646796,2758.6663399095614,0.4714256426375159,7233.471481424875
1809,17331.535162955774,16694.18860632889,637.3465566268678,34326.519140157616,12000.007226499572,0.14551364106083534,4994.976790874378
1810,18421.967167170038,17723.754169250304,698.2129979197225,25109.662863684283,4114.7945723514495,0.10246657484970079,2572.901152139092
1811,6086.5630678347825,5704.78012886713,381.7829389676509,22391.51835004478,8603.360828257415,0.3439514174941467,7701.594488083463
1812,12433.157315644143,12091.96676901138,341.19054663275216,14803.822472088224,1370.6229528487304,0.06755297290849686,1000.0422194716641
1813,13030.168848095826,12329.03657791821,701.1322701776143,31460.875297539053,14021.306448223182,0.14015503354497683,4409.4000378090495
1814,8792.710241706252,8542.716086707835,249.99415499841626,14088.26529454814,3834.9166595380734,0.10367766200124834,1460.6384090216698
1815,4682.810039436628,4430.3620389924035,252.44800044421913,18093.228802433026,8020.801082086553,0.29788037048856225,5389.6177066792825
1816,3097.479771333885,2722.259077657459,375.22069367642496,5285.288875565792,1675.03222808906,0.09701965086501421,512.7768819960083
1817,15964.64026305043,15816.231776212295,148.4084868381268,22318.911408505206,2110.414241506019,0.19014623287811577,4243.856931507939
1818,12664.211353250526,12601.899993006089,62.31136024442603,25692.686462887134,3610.85171506791,0.3665488011098046,9417.62343512854
1819,2573.3923700599507,2245.956807667406,327.43556239254247,22346.24683130164,15174.048932975938,0.20579767087196912,4598.805556402471
1820,1721.2103335174636,1268.9253075554202,452.28502596204066,19803.41765039424,15891.012020439317,0.11064733143156502,2191.1953187046856
1821,16601.808921514777,16315.24959272597,286.5593287887874,31433.854106862545,9776.743915764524,0.16082346389440805,5055.301307041216
1822,6868.93139641908,6397.066997465344,471.8643989537301,47427.91807455724,19053.305680365906,0.4534392804548787,21505.68108454745
1823,13311.632529485963,13093.63500693137,217.99752255458742,34713.380346057595,14089.166684181584,0.21065598032240962,7312.581176367556
1824,7129.790881634645,6943.60676747947,186.1841141551738,10420.693330434618,1549.7895154574694,0.1670822553311412,1741.1129458535743
1825,4189.798892561004,3474.6880522898755,715.1108402711253,16937.2909605059,7636.457150690839,0.3017622443936976,5111.034941511248
1826,18140.570537614916,18018.88267609408,121.68786152080312,52852.20556892436,17291.564905822634,0.3295996825642699,17420.070204323572
1827,13376.65299990891,12798.75607447559,577.8969254333153,30168.44830981203,15399.435264026199,0.04615285684390051,1392.3600775050973
1828,4490.305255122559,4387.372379008417,102.93287611414361,21565.03584991553,13847.065359480634,0.14967122147816958,3227.6652606731573
1829,5004.696297109974,4915.505245258933,89.19105185104155,25848.87029511514,16058.939042157952,0.1851235635083203,4785.234987568422
1830,2307.377598058434,1624.0084068133679,683.3691912450663,12988.397458491598,9215.425439486793,0.11283874231740468,1465.5944355867716
1831,1334.0939959843558,701.1237529636235,632.9702430207296,14472.336296264444,10678.816169634685,0.16993981446883305,2459.4261480806863
1832,4875.745878054504,4642.912731069569,232.83314698492973,15462.247824043283,9008.085098158532,0.10208197936383538,1578.4168650503575
1833,15667.378557504477,15345.469298449585,321.9092590548788,32770.63836007288,8364.298021662453,0.2666704785441094,8738.9618255934
1834,1757.1135469559092,1261.6223856577494,495.4911612981547,41202.10430396991,19136.486793090833,0.4928996794750724,20308.50404517355
1835,4075.5253772376905,3645.182759203597,430.3426180340881,33023.28375757049,18043.992139500293,0.33018419227785417,10903.766290134543
1836,15624.394105716283,15000.361933691618,624.032172024671,34017.8418976666,17704.917296694588,0.020240276597934155,688.5305299763193
1837,17843.31030357598,17707.51212190573,135.79818167023762,35654.68360512877,10937.197313583327,0.19279868248880833,6874.176032140198
1838,10383.479508194563,9857.494506965468,525.9850012290817,18739.524824586417,5783.648892215324,0.137271167065082,2572.3964458977493
1839,18217.334602529187,17763.226041824633,454.10856070454133,26361.77730671253,1943.6222307578757,0.235220122969794,6200.820507895223
1840,12003.316195082678,11465.194725465764,538.121469616907,31062.67134112589,15322.651003626943,0.12029564786759576,3736.7041777266186
